Date,Away_Team,Home_Team,Strike,Result,Is_Home_Arena,Last_Price,Volume
"Jan 20, 2026",,,Injury / Injured,yes,no,99,7659
"Jan 20, 2026",,,Jordan,no,no,1,4173
"Jan 20, 2026",,,MVP,yes,no,99,2932
"Jan 20, 2026",,,Playoff,yes,no,99,3653
"Jan 20, 2026",,,Retire / Retired / Retirement,no,no,1,5057
"Jan 20, 2026",,,Tech / Technical,yes,no,99,6722
"Jan 20, 2026",,,Trade / Trades / Traded,no,no,1,4060
"Jan 20, 2026",,,Triple Double,yes,no,99,8847
"Jan 19, 2026",,,Airball / Air Ball,no,no,1,20967
"Jan 19, 2026",,,All-Star,yes,no,99,4878
"Jan 19, 2026",,,Alley-oop,yes,no,99,3222
"Jan 19, 2026",,,Ankle,no,no,1,11405
"Jan 19, 2026",,,Buzzer,no,no,2,94546
"Jan 19, 2026",,,Elbow,yes,no,99,1219
"Jan 19, 2026",,,Injury / Injured,yes,no,99,2915
"Jan 19, 2026",,,Jordan,yes,no,99,12760
"Jan 19, 2026",,,MVP,yes,no,99,2621
"Jan 19, 2026",,,Playoff,yes,no,99,3633
"Jan 19, 2026",,,Retire / Retired / Retirement,no,no,1,10282
"Jan 19, 2026",,,Rocket,yes,yes,99,5063
"Jan 19, 2026",,,Tech / Technical,yes,no,99,2482
"Jan 19, 2026",,,Trade / Trades / Traded,yes,no,99,2146
"Jan 19, 2026",,,Triple Double,no,no,1,33763
"Jan 19, 2026",,,Airball / Air Ball,no,no,1,4233
"Jan 19, 2026",,,All-Star,yes,no,99,3495
"Jan 19, 2026",,,Alley-oop,yes,no,99,6714
"Jan 19, 2026",,,Ankle,no,no,1,5431
"Jan 19, 2026",,,Buzzer,yes,no,99,30909
"Jan 19, 2026",,,Elbow,yes,no,99,7071
"Jan 19, 2026",,,Injury / Injured,yes,no,99,7934
"Jan 19, 2026",,,Jordan,no,no,1,623
"Jan 19, 2026",,,MVP,no,no,1,6436
"Jan 19, 2026",,,Playoff,no,no,1,7195
"Jan 19, 2026",,,Retire / Retired / Retirement,no,no,1,1908
"Jan 19, 2026",,,State Farm,yes,yes,99,4293
"Jan 19, 2026",,,Tech / Technical,yes,no,99,6565
"Jan 19, 2026",,,Trade / Trades / Traded,yes,no,99,10677
"Jan 19, 2026",,,Triple Double,yes,no,99,7327
"Jan 19, 2026",,,Airball / Air Ball,no,no,1,2584
"Jan 19, 2026",,,All-Star,yes,no,99,5747
"Jan 19, 2026",,,Alley-oop,no,no,1,5737
"Jan 19, 2026",,,Ankle,yes,no,99,2510
"Jan 19, 2026",,,Buzzer,no,no,1,14319
"Jan 19, 2026",,,Elbow,yes,no,99,4571
"Jan 19, 2026",,,Injury / Injured,yes,no,99,7419
"Jan 19, 2026",,,Jordan,yes,no,99,9870
"Jan 19, 2026",,,MSG / Madison Square Garden,yes,yes,99,3610
"Jan 19, 2026",,,MVP,yes,no,99,3235
"Jan 19, 2026",,,Playoff,yes,no,99,4725
"Jan 19, 2026",,,Retire / Retired / Retirement,no,no,1,3932
"Jan 19, 2026",,,Tech / Technical,yes,no,99,4190
"Jan 19, 2026",,,Trade / Trades / Traded,yes,no,99,3595
"Jan 19, 2026",,,Triple Double,no,no,1,8884
"Jan 19, 2026",,,Airball / Air Ball,no,no,2,16135
"Jan 19, 2026",,,All-Star,yes,no,99,4521
"Jan 19, 2026",,,Alley-oop,no,no,2,11986
"Jan 19, 2026",,,Ankle,yes,no,99,5158
"Jan 19, 2026",,,Buzzer,no,no,3,42164
"Jan 19, 2026",,,Elbow,yes,no,99,2846
"Jan 19, 2026",,,Injury / Injured,yes,no,99,5387
"Jan 19, 2026",,,Jordan,yes,no,99,8946
"Jan 19, 2026",,,Little Caesars,yes,yes,99,6171
"Jan 19, 2026",,,MVP,yes,no,99,4680
"Jan 19, 2026",,,Playoff,yes,no,99,3159
"Jan 19, 2026",,,Retire / Retired / Retirement,no,no,2,6648
"Jan 19, 2026",,,Tech / Technical,yes,no,99,5222
"Jan 19, 2026",,,Trade / Trades / Traded,no,no,2,14312
"Jan 19, 2026",,,Triple Double,no,no,1,4970
"Jan 18, 2026",,,Airball / Air Ball,no,no,1,6807
"Jan 18, 2026",,,All-Star,no,no,1,5556
"Jan 18, 2026",,,Alley-oop,no,no,1,11438
"Jan 18, 2026",,,Ankle,yes,no,99,3779
"Jan 18, 2026",,,Buzzer,no,no,1,21464
"Jan 18, 2026",,,Elbow,yes,no,99,6098
"Jan 18, 2026",,,FedExForum / FedEx,yes,yes,99,29839
"Jan 18, 2026",,,Injury / Injured,yes,no,99,9259
"Jan 18, 2026",,,Jordan,yes,no,99,9692
"Jan 18, 2026",,,MVP,yes,no,99,6124
"Jan 18, 2026",,,Playoff,no,no,1,8952
"Jan 18, 2026",,,Retire / Retired / Retirement,no,no,1,9550
"Jan 18, 2026",,,Tech / Technical,yes,no,97,3607
"Jan 18, 2026",,,Trade / Trades / Traded,yes,no,99,5070
"Jan 18, 2026",,,Triple Double,no,no,1,2937
"Jan 17, 2026",,,Airball / Air Ball,yes,no,99,3944
