Game,Strike,Result,Last Price,Volume
"Portland at Boston professional basketball game originally scheduled for Jan 26, 2026",Triple Double,yes,99,12143
"Orlando at Cleveland professional basketball game originally scheduled for Jan 26, 2026",Airball / Air Ball,no,1,18209
"Orlando at Cleveland professional basketball game originally scheduled for Jan 26, 2026",All-Star,yes,99,5341
"Orlando at Cleveland professional basketball game originally scheduled for Jan 26, 2026",Alley-oop,yes,99,30928
"Orlando at Cleveland professional basketball game originally scheduled for Jan 26, 2026",Ankle,yes,99,10883
"Orlando at Cleveland professional basketball game originally scheduled for Jan 26, 2026",Buzzer,yes,99,30870
"Orlando at Cleveland professional basketball game originally scheduled for Jan 26, 2026",Elbow,no,1,15566
"Orlando at Cleveland professional basketball game originally scheduled for Jan 26, 2026",Injury / Injured,yes,99,13745
"Orlando at Cleveland professional basketball game originally scheduled for Jan 26, 2026",Jordan,yes,99,31275
"Orlando at Cleveland professional basketball game originally scheduled for Jan 26, 2026",MVP,no,2,29770
"Orlando at Cleveland professional basketball game originally scheduled for Jan 26, 2026",Playoff,yes,99,8356
"Orlando at Cleveland professional basketball game originally scheduled for Jan 26, 2026",Retire / Retired / Retirement,no,1,13099
"Orlando at Cleveland professional basketball game originally scheduled for Jan 26, 2026",Rocket,yes,99,25591
"Orlando at Cleveland professional basketball game originally scheduled for Jan 26, 2026",Tech / Technical,yes,99,6678
"Orlando at Cleveland professional basketball game originally scheduled for Jan 26, 2026",Trade / Trades / Traded,yes,99,5435
"Orlando at Cleveland professional basketball game originally scheduled for Jan 26, 2026",Triple Double,no,1,18328
"Golden State at Minnesota professional basketball game originally scheduled for Jan 26, 2026",Airball / Air Ball,no,1,15070
"Golden State at Minnesota professional basketball game originally scheduled for Jan 26, 2026",All-Star,yes,99,12545
"Golden State at Minnesota professional basketball game originally scheduled for Jan 26, 2026",Alley-oop,no,1,31850
"Golden State at Minnesota professional basketball game originally scheduled for Jan 26, 2026",Ankle,no,1,8747
"Golden State at Minnesota professional basketball game originally scheduled for Jan 26, 2026",Buzzer,no,1,73540
"Golden State at Minnesota professional basketball game originally scheduled for Jan 26, 2026",Elbow,yes,99,23915
"Golden State at Minnesota professional basketball game originally scheduled for Jan 26, 2026",Injury / Injured,yes,99,31513
"Golden State at Minnesota professional basketball game originally scheduled for Jan 26, 2026",Jordan,no,1,14835
"Golden State at Minnesota professional basketball game originally scheduled for Jan 26, 2026",MVP,no,1,19013
"Golden State at Minnesota professional basketball game originally scheduled for Jan 26, 2026",Playoff,yes,99,5533
"Golden State at Minnesota professional basketball game originally scheduled for Jan 26, 2026",Retire / Retired / Retirement,no,1,48402
"Golden State at Minnesota professional basketball game originally scheduled for Jan 26, 2026",Target,yes,99,19955
"Golden State at Minnesota professional basketball game originally scheduled for Jan 26, 2026",Tech / Technical,no,1,27671
"Golden State at Minnesota professional basketball game originally scheduled for Jan 26, 2026",Trade / Trades / Traded,no,1,13095
"Golden State at Minnesota professional basketball game originally scheduled for Jan 26, 2026",Triple Double,no,1,10660
"Toronto at Oklahoma City professional basketball game originally scheduled for Jan 25, 2026",Airball / Air Ball,yes,80,80465
"Toronto at Oklahoma City professional basketball game originally scheduled for Jan 25, 2026",All-Star,yes,99,2751
"Toronto at Oklahoma City professional basketball game originally scheduled for Jan 25, 2026",Alley-oop,yes,99,5966
"Toronto at Oklahoma City professional basketball game originally scheduled for Jan 25, 2026",Ankle,yes,99,7654
"Toronto at Oklahoma City professional basketball game originally scheduled for Jan 25, 2026",Buzzer,no,1,19375
"Toronto at Oklahoma City professional basketball game originally scheduled for Jan 25, 2026",Elbow,yes,99,3897
"Toronto at Oklahoma City professional basketball game originally scheduled for Jan 25, 2026",Injury / Injured,yes,99,5820
"Toronto at Oklahoma City professional basketball game originally scheduled for Jan 25, 2026",Jordan,no,1,3463
"Toronto at Oklahoma City professional basketball game originally scheduled for Jan 25, 2026",MVP,yes,99,3132
"Toronto at Oklahoma City professional basketball game originally scheduled for Jan 25, 2026",Paycom,yes,99,8810
"Toronto at Oklahoma City professional basketball game originally scheduled for Jan 25, 2026",Playoff,no,2,10910
"Toronto at Oklahoma City professional basketball game originally scheduled for Jan 25, 2026",Retire / Retired / Retirement,no,2,7877
"Toronto at Oklahoma City professional basketball game originally scheduled for Jan 25, 2026",Tech / Technical,yes,99,13075
"Toronto at Oklahoma City professional basketball game originally scheduled for Jan 25, 2026",Trade / Trades / Traded,yes,99,2964
"Toronto at Oklahoma City professional basketball game originally scheduled for Jan 25, 2026",Triple Double,no,1,3885
"Denver at Memphis professional basketball game originally scheduled for Jan 25, 2026",Airball / Air Ball,no,2,36483
"Denver at Memphis professional basketball game originally scheduled for Jan 25, 2026",All-Star,no,1,49971
"Denver at Memphis professional basketball game originally scheduled for Jan 25, 2026",Alley-oop,no,2,42557
"Denver at Memphis professional basketball game originally scheduled for Jan 25, 2026",Ankle,no,2,37682
"Denver at Memphis professional basketball game originally scheduled for Jan 25, 2026",Buzzer,no,2,151002
"Denver at Memphis professional basketball game originally scheduled for Jan 25, 2026",Elbow,no,2,47603
"Denver at Memphis professional basketball game originally scheduled for Jan 25, 2026",FedExForum / FedEx,no,2,90971
"Denver at Memphis professional basketball game originally scheduled for Jan 25, 2026",Injury / Injured,no,2,230918
"Denver at Memphis professional basketball game originally scheduled for Jan 25, 2026",Jordan,no,2,48472
"Denver at Memphis professional basketball game originally scheduled for Jan 25, 2026",MVP,no,2,44199
"Denver at Memphis professional basketball game originally scheduled for Jan 25, 2026",Playoff,no,2,91739
"Denver at Memphis professional basketball game originally scheduled for Jan 25, 2026",Retire / Retired / Retirement,no,2,26504
"Denver at Memphis professional basketball game originally scheduled for Jan 25, 2026",Tech / Technical,no,2,103835
"Denver at Memphis professional basketball game originally scheduled for Jan 25, 2026",Trade / Trades / Traded,no,1,58919
"Denver at Memphis professional basketball game originally scheduled for Jan 25, 2026",Triple Double,no,2,28511
"New York at Philadelphia professional basketball game originally scheduled for Jan 24, 2026",Airball / Air Ball,no,1,12002
"New York at Philadelphia professional basketball game originally scheduled for Jan 24, 2026",All-Star,yes,99,8303
"New York at Philadelphia professional basketball game originally scheduled for Jan 24, 2026",Alley-oop,no,1,19107
"New York at Philadelphia professional basketball game originally scheduled for Jan 24, 2026",Ankle,no,1,8156
"New York at Philadelphia professional basketball game originally scheduled for Jan 24, 2026",Buzzer,no,1,34091
"New York at Philadelphia professional basketball game originally scheduled for Jan 24, 2026",Elbow,yes,99,10196
"New York at Philadelphia professional basketball game originally scheduled for Jan 24, 2026",Injury / Injured,yes,99,13160
"New York at Philadelphia professional basketball game originally scheduled for Jan 24, 2026",Jordan,no,1,17075
"New York at Philadelphia professional basketball game originally scheduled for Jan 24, 2026",MVP,no,1,11256
"New York at Philadelphia professional basketball game originally scheduled for Jan 24, 2026",Playoff,no,1,14243
"New York at Philadelphia professional basketball game originally scheduled for Jan 24, 2026",Retire / Retired / Retirement,no,1,7496
"New York at Philadelphia professional basketball game originally scheduled for Jan 24, 2026",Tech / Technical,no,1,12562
"New York at Philadelphia professional basketball game originally scheduled for Jan 24, 2026",Trade / Trades / Traded,no,1,11438
"New York at Philadelphia professional basketball game originally scheduled for Jan 24, 2026",Triple Double,yes,99,18438
"New York at Philadelphia professional basketball game originally scheduled for Jan 24, 2026",Xfinity,no,1,12225
"Los Angeles L at Dallas professional basketball game originally scheduled for Jan 24, 2026",Airball / Air Ball,no,1,16223
"Los Angeles L at Dallas professional basketball game originally scheduled for Jan 24, 2026",All-Star,yes,99,4397
"Los Angeles L at Dallas professional basketball game originally scheduled for Jan 24, 2026",Alley-oop,yes,99,28682
"Los Angeles L at Dallas professional basketball game originally scheduled for Jan 24, 2026",American Airlines,yes,99,17044
"Los Angeles L at Dallas professional basketball game originally scheduled for Jan 24, 2026",Ankle,yes,99,6848
"Los Angeles L at Dallas professional basketball game originally scheduled for Jan 24, 2026",Buzzer,yes,99,16592
"Los Angeles L at Dallas professional basketball game originally scheduled for Jan 24, 2026",Elbow,yes,99,31478
"Los Angeles L at Dallas professional basketball game originally scheduled for Jan 24, 2026",Injury / Injured,yes,99,19331
"Los Angeles L at Dallas professional basketball game originally scheduled for Jan 24, 2026",Jordan,no,1,10697
"Los Angeles L at Dallas professional basketball game originally scheduled for Jan 24, 2026",MVP,yes,99,9828
"Los Angeles L at Dallas professional basketball game originally scheduled for Jan 24, 2026",Playoff,yes,99,3530
"Los Angeles L at Dallas professional basketball game originally scheduled for Jan 24, 2026",Retire / Retired / Retirement,no,1,26350
"Los Angeles L at Dallas professional basketball game originally scheduled for Jan 24, 2026",Tech / Technical,no,7,44814
"Los Angeles L at Dallas professional basketball game originally scheduled for Jan 24, 2026",Trade / Trades / Traded,yes,99,14304
"Los Angeles L at Dallas professional basketball game originally scheduled for Jan 24, 2026",Triple Double,yes,99,16915
"Golden State at Minnesota professional basketball game originally scheduled for Jan 24, 2026",Airball / Air Ball,yes,29,6511
"Golden State at Minnesota professional basketball game originally scheduled for Jan 24, 2026",All-Star,no,72,19522
"Golden State at Minnesota professional basketball game originally scheduled for Jan 24, 2026",Alley-oop,no,69,15689
"Golden State at Minnesota professional basketball game originally scheduled for Jan 24, 2026",Ankle,yes,54,4318
"Golden State at Minnesota professional basketball game originally scheduled for Jan 24, 2026",Buzzer,yes,20,4756
"Golden State at Minnesota professional basketball game originally scheduled for Jan 24, 2026",Elbow,yes,99,23570
"Golden State at Minnesota professional basketball game originally scheduled for Jan 24, 2026",Injury / Injured,yes,89,37662
"Golden State at Minnesota professional basketball game originally scheduled for Jan 24, 2026",Jordan,yes,36,2079
"Golden State at Minnesota professional basketball game originally scheduled for Jan 24, 2026",MVP,yes,37,2922
"Golden State at Minnesota professional basketball game originally scheduled for Jan 24, 2026",Playoff,yes,62,5296
"Golden State at Minnesota professional basketball game originally scheduled for Jan 24, 2026",Retire / Retired / Retirement,yes,15,4205
"Golden State at Minnesota professional basketball game originally scheduled for Jan 24, 2026",Target,yes,79,11185
"Golden State at Minnesota professional basketball game originally scheduled for Jan 24, 2026",Tech / Technical,yes,63,9419
"Golden State at Minnesota professional basketball game originally scheduled for Jan 24, 2026",Trade / Trades / Traded,no,68,4814
"Golden State at Minnesota professional basketball game originally scheduled for Jan 24, 2026",Triple Double,no,26,2500
"Houston at Detroit professional basketball game originally scheduled for Jan 23, 2026",Airball / Air Ball,no,1,11045
"Houston at Detroit professional basketball game originally scheduled for Jan 23, 2026",All-Star,yes,99,7397
"Houston at Detroit professional basketball game originally scheduled for Jan 23, 2026",Alley-oop,no,1,27089
"Houston at Detroit professional basketball game originally scheduled for Jan 23, 2026",Ankle,yes,99,4952
"Houston at Detroit professional basketball game originally scheduled for Jan 23, 2026",Buzzer,no,1,49657
"Houston at Detroit professional basketball game originally scheduled for Jan 23, 2026",Elbow,yes,99,15437
"Houston at Detroit professional basketball game originally scheduled for Jan 23, 2026",Injury / Injured,yes,99,7608
